phrase,Frequency Level,Rank,Frequency </br> (per million words),Spoken general,Written general,Written academic,Example sentence,,,,,,,
REFLECTED IN,4-K,3989,1471,___,___,___,The artist’s angst is reflected in her painting.,reflected in,,,,,,
RATHER THAN,1-K,631,21085,___,___,___,"Children, rather than adults, tend to learn quickly.",rather than,,,,,,
QUITE A LOT,4-K,4337,1260,___,___,–,I do swim quite a lot.,quite a lot,,,,,,
PUT UP,4-K,3831,1571,___,___,–,The authorities put up a sign to notify the public.,put up,,,,,,
PUT TOGETHER,5-K,4670,1082,___,___,__,He put together the proposal in a matter of days.,put together,,,,,,
PUT IT,3-K,2983,2449,___,___,__,"There’s no better way to put it, I think.",put it,,,,,,
PUT FORWARD,4-K,3740,1640,__,___,___,The group put forward several other proposals.,put forward,,,,,,
PROVIDED THAT,5-K,4606,1110,__,___,___,It’s OK provided that he come up with the goods.,provided that,,,,,,
PROVIDE FOR,4-K,4153,1370,–,___,___,The other variables have been provided for.,provide for,,,,,,
PROVE TO BE,4-K,3456,1893,__,___,___,The bicycle proved to be of immense value.,prove to be,,,,,,
PRIOR TO,3-K,2608,3110,__,___,___,"Prior to the event, the organizers called the band.",prior to,,,,,,
POINT OUT,2-K,1638,6325,___,___,___,She pointed out that it was getting late.,point out,,,,,,
POINT OF VIEW,3-K,2735,2864,___,___,___,They all had a different point of view.,point of view,,,,,,
PICK UP,2-K,1299,9252,___,___,–,She dropped by to pick up her friend.,pick up,,,,,,
PART TIME,3-K,3061,2343,___,___,__,She can take it on part time.,part time,,,,,,
OWING TO,5-K,5485,793,___,___,___,"Owing to his honesty, he was held in high esteem.",owing to,,,,,,
OVER TIME,5-K,4704,1069,___,___,___,It might change over time.,over time,,,,,,
OVER THERE,3-K,2828,2678,___,__,–,He put it way over there.,over there,,,,,,
OVER THE YEARS,4-K,3402,1942,___,___,___,She has over the years visited many cities.,over the years,,,,,,
OUT THERE,3-K,2941,2513,___,___,–,There are simply no jobs out there right now.,out there,,,,,,
OUT OF,3-K,2156,4361,__,___,___,"In terms of colour, three out of five were silver.",out of,,,,,,
OUT OF,3-K,2711,2907,___,___,___,The walls are made out of wood.,out of,,,,,,
OUT OF,4-K,4025,1453,___,___,__,Most commuters drive out of pure necessity.,out of,,,,,,
OUGHT TO,2-K,1958,5002,___,__,–,She hasn’t but she ought to.,ought to,,,,,,
OTHER THAN,3-K,2149,4380,___,___,___,No one other than you could have come up with it.,other than,,,,,,
OR WHATEVER,4-K,3536,1806,___,–,–,The challenge or whatever is doing it under budget.,or whatever,,,,,,
OR TWO,2-K,1667,6192,___,___,__,"He had a thing or two to drink, then left.",or two,,,,,,
OR SOMETHING,3-K,2826,2683,___,__,–,The sales clerk seemed distracted or something.,or something,,,,,,
OR SO,3-K,2216,4164,___,___,___,A day or so later he called me back on my mobile.,or so,,,,,,
OR ANYTHING,4-K,4138,1379,___,__,–,I don’t want any trouble or anything.,or anything,,,,,,
OPPOSED TO,5-K,4726,1059,__,___,___,He’s strangely opposed to gun control.,opposed to,,,,,,
ONE ANOTHER,3-K,2868,2623,__,___,__,They looked at one another for a few minutes.,one another,,,,,,
ONCE MORE,3-K,3207,2146,___,___,___,I call on you once more my fellow citizens.,once more,,,,,,
ONCE AGAIN,3-K,2437,3532,___,___,___,"Once again, this was completely unforeseen. ",once again,,,,,,
ON THE WHOLE,4-K,4374,1238,___,___,___,It was acceptable on the whole. ,on the whole,,,,,,
ON THE WAY,2-K,1929,5085,___,___,__,We can stop for lunch on the way.,on the way,,,,,,
ON THE ROAD,4-K,4107,1400,___,___,–,I can’t wait to get on the road again.,on the road,,,,,,
ON THE PART OF,4-K,3379,1965,__,___,___,There are no barriers on the part of the government.,on the part of,,,,,,
ON THE OTHER HAND,2-K,1877,5267,___,___,___,"On the other hand, the business did make a profit.",on the other hand,,,,,,
ON THE ONE HAND,4-K,4095,1406,___,___,_,"On the one hand, it’s cheap.",on the one hand,,,,,,
ON THE MARKET,5-K,5051,928,__,___,___,How long has it been on the market?,on the market,,,,,,
ON THE GROUNDS,4-K,3652,1713,___,___,___,The decision was made on the grounds of safety.,on the grounds,,,,,,
ON THE BASIS,3-K,2442,3515,__,___,___,She came on the basis that it would help her.,on the basis,,,,,,
ON BOARD,4-K,3673,1698,___,___,__,Are you on board with the decision?,on board,,,,,,
ON BEHALF OF,3-K,2827,2679,–,__,___,I’d like to apologize on behalf of the committee. ,on behalf of,,,,,,
ON AVERAGE,5-K,4841,1014,___,___,__,How much does he make on average?,on average,,,,,,
OLD FASHIONED,4-K,4113,1393,___,___,–,He’s just a bit old fashioned sometimes.,old fashioned,,,,,,
OH WELL,3-K,3220,2129,___,–,–,It was due yesterday? Oh well.,oh well,,,,,,
OH NO,3-K,2857,2642,___,–,–,Oh no not again.,oh no,,,,,,
OH DEAR,4-K,3670,1700,___,–,–,He didn’t? Oh dear.,oh dear,,,,,,
OF LITTLE,5-K,4682,1079,___,___,___,"It was of little relevance, really.",of little,,,,,,
OF COURSE,1-K,483,26966,___,___,_,He said he’d come of course.,of course,,,,,,
NOTHING BUT,4-K,4004,1466,___,___,__,I have nothing but respect for her.,nothing but,,,,,,
NOT ONLY,1-K,908,14110,___,___,___,"Not only was it cheap, it was delicious.",not only,,,,,,
NOT EVEN,3-K,2599,3128,___,___,___,"No one cared, not even when they saw the photos.",not even,,,,,,
NO WONDER,5-K,5384,820,___,___,–,No wonder he’s ranked first.,no wonder,,,,,,
NO SUCH,4-K,3992,1470,___,___,___,He said no such thing.,no such,,,,,,
NO SIGN OF,5-K,5222,871,___,___,–,Still no sign of him?,no sign of,,,,,,
NO ONE,2-K,1262,9597,___,___,__,I will speak to no one about this.,no one,,,,,,
NO MORE THAN,3-K,2557,3226,__,___,___,No more than five of them had auto insurance.,no more than,,,,,,
NO MATTER,4-K,3461,1888,___,___,__,"No matter what they say, it’s down to you now.",no matter,,,,,,
NO LONGER,2-K,1371,8556,___,___,___,"Fortunately, it is no longer a concern now.",no longer,,,,,,
NO IDEA,4-K,3709,1670,___,__,–,You have no idea.,no idea,,,,,,
NO GOOD,4-K,3902,1528,___,___,–,It’s no good sitting there – you have to type.,no good,,,,,,
NO DOUBT,3-K,2776,2791,__,___,__,She can and will no doubt improve over time.,no doubt,,,,,,
NEXT TO,3-K,2724,2882,___,___,__,"Next to his sister, he was the best looking of them.",next to,,,,,,
NEXT DOOR,4-K,4029,1449,___,___,–,The people next door didn’t seem to mind.,next door,,,,,,
NEVER MIND,5-K,5082,915,___,__,–,Never mind that it’s my birthday today.,never mind,,,,,,
MOVE ON,3-K,3134,2245,___,___,__,I’d like to move on if I may.,move on,,,,,,
MOST LIKELY,4-K,4143,1376,___,___,___,It is most likely the reason for the warming.,most likely,,,,,,
MORE SO,5-K,5171,887,___,___,___,"Boston is walkable, and San Francisco more so.",more so,,,,,,
MORE OR LESS,3-K,2903,2579,___,___,___,It’s more or less what we imagined I suppose.,more or less,,,,,,
MORE AND MORE,3-K,2967,2468,___,___,___,More and more it’s about the customer.,more and more,,,,,,
MIND YOU,4-K,4207,1342,___,__,–,"Mind you, that’s one reason why I go there.",mind you,,,,,,
MIGHT AS WELL,4-K,4195,1348,___,___,–,We’re here now so we might as well.,might as well,,,,,,
MEANT TO,3-K,3240,2098,___,___,___,I haven’t seen it but it’s meant to be his best so far.,meant to,,,,,,
MAY WELL,2-K,1982,4931,___,___,___,He hasn’t yet but may well try before long.,may well,,,,,,
MANAGE TO,2-K,1661,6234,___,___,___,Did you manage to get in touch at all?,manage to,,,,,,
MAKE USE OF,5-K,4462,1191,___,___,___,We made use of the stopover.,make use of,,,,,,
MAKE UP,3-K,2498,3394,__,___,___,Hispanics make up a large part of the population.,make up,,,,,,
MAKE SURE,2-K,1818,5510,___,___,___,I had to make sure before I opened the door.,make sure,,,,,,
MAKE SENSE,4-K,3782,1608,___,___,__,Doesn’t it make sense to do it that way?,make sense,,,,,,
MAKE OUT,5-K,5311,842,__,___,–,He could barely make out her signature.,make out,,,,,,
MAKE ITS WAY,4-K,4035,1446,__,___,–,The mouse made its way across the field.,make its way,,,,,,
LOTS OF,3-K,2409,3605,___,___,–,Lots of them do travel during the winter months.,lots of,,,,,,
LOOK TO,5-K,5492,790,___,___,___,He constantly looked to us for advice and support.,look to,,,,,,
LOOK LIKE,2-K,1591,6595,___,___,–,It’s not what it looks like.,look like,,,,,,
LOOK FORWARD TO,3-K,3067,2331,___,___,–,It’s something we can all look forward to.,look forward to,,,,,,
LOOK FOR,2-K,1387,8377,___,___,__,Bargains can be found if you know what to look for.,look for,,,,,,
LOOK AFTER,3-K,2164,4332,___,___,–,She did more than just look after the finances.,look after,,,,,,
LONG TERM,2-K,1740,5831,___,___,___,"It seems to work, but what of the long term effects?",long term,,,,,,
LONG BEFORE,4-K,4290,1282,___,___,___,Long before I could quit I was offered a promotion.,long before,,,,,,
LONG AGO,4-K,4307,1273,___,___,___,I gave up on that idea long ago.,long ago,,,,,,
LITTLE MORE THAN,5-K,4556,1133,__,___,___,It’s little more than pageantry if you ask me.,little more than,,,,,,
LIMITED TO,4-K,4199,1346,–,___,___,The dinner was limited to seniors.,limited to,,,,,,
LIKELY TO,1-K,807,15854,___,___,___,"To be honest, I’m likely to forget.",likely to,,,,,,
LET ALONE,4-K,4333,1261,___,___,___,I can’t run let alone walk.,let alone,,,,,,
LED BY,3-K,2942,2511,–,___,___,He was led by his competitive drive above all.,led by,,,,,,
LEAD TO,1-K,939,13555,__,___,___,Excessive smoking can lead to heart disease.,lead to,,,,,,
LAY OUT,5-K,5496,789,___,___,___,The countries laid out plans for a peace agreement.,lay out,,,,,,
LAST NIGHT,2-K,1427,7992,___,__,–,What did he say last night?,last night,,,,,,
LARGE SCALE,4-K,3780,1610,__,___,___,They were thinking on a large scale.,large scale,,,,,,
KNOWN TO,3-K,2624,3091,–,___,___,He’s known to be like that.,known to,,,,,,
KIND OF,3-K,2445,3510,___,__,–,The windows are kind of fogged up.,kind of,,,,,,
KEY TO,4-K,3940,1499,___,___,___,Her input was key to the project’s success.,key to,,,,,,
KEEP UP,4-K,3700,1674,___,___,__,Keep up if you can.,keep up,,,,,,
KEEP ON,5-K,5501,788,___,___,–,Freeways kept on being built.,keep on,,,,,,
JUST ABOUT,4-K,3763,1622,___,__,–,Am I finished? Just about.,just about,,,,,,
INSTEAD OF,2-K,1556,6907,___,___,___,He can go instead of me.,instead of,,,,,,
IN WHICH CASE,5-K,5216,872,___,___,___,"That means it’s midnight, in which case it’s closed.",in which case,,,,,,
IN VIEW OF,4-K,3979,1477,–,___,___,She reconsidered in view of her children.,in view of,,,,,,
IN TURN,3-K,2429,3558,__,___,___,The supermarket in turn will donate seven thousand.,in turn,,,,,,
IN TOUCH,3-K,2636,3060,___,___,__,Are you two at all in touch?,in touch,,,,,,
IN TIME,3-K,2425,3566,___,___,___,You will in time.,in time,,,,,,
IN THIS RESPECT,5-K,4605,1110,–,___,___,"In this respect, our study refutes earlier research.",in this respect,,,,,,
IN THEORY,5-K,4712,1065,___,___,___,In theory that is why he went there.,in theory,,,,,,
IN THE WAY,3-K,2654,3013,___,___,–,I won’t stand in the way.,in the way,,,,,,
IN THE SAME WAY,4-K,3560,1784,___,___,___,"In the same way, Apple appeals to the young.",in the same way,,,,,,
IN THE MEANTIME,5-K,4501,1161,___,___,___,I’ll keep working on it in the meantime.,in the meantime,,,,,,
IN THE LIGHT OF,4-K,3554,1789,__,___,___,"In the light of the results, we delayed the study.",in the light of,,,,,,
IN THE INTEREST OF,5-K,5025,938,__,___,___,They stopped in the interest of time.,in the interest of,,,,,,
IN THE FIRST PLACE,4-K,3450,1897,___,___,___,He couldn’t see how it got there in the first place.,in the first place,,,,,,
IN THE FACE OF,4-K,4020,1457,__,___,___,They quit in the face of the media scrutiny.,in the face of,,,,,,
