phrase,Frequency Level,Rank,Frequency </br> (per million words),Spoken general,Written general,Written academic,Example sentence,,,,,,,
OUT OF,3-K,2156,4361,__,___,___,"In terms of colour, three out of five were silver.",,,,,,,
TURN OUT,3-K,2157,4354,___,___,___,How did it turn out?,,,,,,,
LOOK AFTER,3-K,2164,4332,___,___,–,She did more than just look after the finances.,,,,,,,
AT LAST,3-K,2173,4306,___,___,__,At last we met over coffee last week.,,,,,,,
A VARIETY OF,3-K,2179,4283,___,___,___,And a variety of issues seemed to stall the process.,,,,,,,
AT FIRST,3-K,2180,4275,___,___,___,"Not at first, but just the other day there was one.",,,,,,,
OR SO,3-K,2216,4164,___,___,___,A day or so later he called me back on my mobile.,,,,,,,
IN FAVOUR,3-K,2231,4073,___,___,___,I don’t know about you but I’m in favour. ,,,,,,,
GIVE UP,3-K,2258,3997,___,___,__,You can’t just give up.,,,,,,,
GET TO,3-K,2263,3979,___,___,__,When he got to the end he started to weep.,,,,,,,
FIND ONESELF,3-K,2280,3917,___,___,__,I found myself driving home.,,,,,,,
GET UP,3-K,2298,3857,___,___,–,It was easy getting up but the commute was awful.,,,,,,,
CARRY ON,3-K,2345,3759,___,___,___,He could simply not carry on.,,,,,,,
GO BACK,3-K,2361,3722,___,___,___,If I could I’d go back and do it all over again.,,,,,,,
FOCUS ON,3-K,2371,3703,___,___,___,But today I’d like to focus on something different.,,,,,,,
AT ONCE,3-K,2379,3684,___,___,___,I did it at once.,,,,,,,
IT TAKES,3-K,2384,3670,___,___,___,No matter what it takes.,,,,,,,
GET OFF,3-K,2388,3656,___,___,–,We waited for hours in the queue to get on.,,,,,,,
GET ON,3-K,2388,3656,___,___,–,We waited for hours in the queue to get on.,,,,,,,
AS A WHOLE,3-K,2404,3615,___,___,___,As a whole it’s OK.,,,,,,,
IN PRACTICE,3-K,2407,3609,__,___,___,There was nothing she could do in practice.,,,,,,,
BY THE TIME,3-K,2408,3607,___,___,__,By the time dinner started there were none left.,,,,,,,
LOTS OF,3-K,2409,3605,___,___,–,Lots of them do travel during the winter months.,,,,,,,
SAID TO BE,3-K,2417,3586,–,___,__,The priest was said to be missing.,,,,,,,
IN TIME,3-K,2425,3566,___,___,___,You will in time.,,,,,,,
IN TURN,3-K,2429,3558,__,___,___,The supermarket in turn will donate seven thousand.,,,,,,,
ONCE AGAIN,3-K,2437,3532,___,___,___,"Once again, this was completely unforeseen. ",,,,,,,
ALL THE TIME,3-K,2439,3527,___,___,__,I go there all the time.,,,,,,,
ON THE BASIS OF,3-K,2442,3515,__,___,___,She came on the basis that it would help her.,,,,,,,
ON THE BASIS,3-K,2442,3515,__,___,___,She came on the basis that it would help her.,,,,,,,
KIND OF,3-K,2445,3510,___,__,–,The windows are kind of fogged up.,,,,,,,
GET INTO,3-K,2446,3508,___,___,__,I really got into what he was talking about.,,,,,,,
RELY ON,3-K,2454,3488,___,___,___,He has no one else to rely on.,,,,,,,
GO FOR,3-K,2483,3421,___,__,–,I could really go for a hamburger right now.,,,,,,,
AIM TO,3-K,2484,3415,__,___,___,They aim to complete the project by the spring.,,,,,,,
MAKE UP,3-K,2498,3394,__,___,___,Hispanics make up a large part of the population.,,,,,,,
APPEAL TO,3-K,2531,3299,___,___,___,It appeals to younger learners.,,,,,,,
END UP,3-K,2536,3285,___,___,___,We ended up going anyway.,,,,,,,
SHAKE ONE’S HEAD,3-K,2548,3250,__,___,–,He just shook his head and laughed.,,,,,,,
NO MORE THAN,3-K,2557,3226,__,___,___,No more than five of them had auto insurance.,,,,,,,
GET BACK,3-K,2575,3178,___,___,__,What time will we get back?,,,,,,,
WHAT ABOUT,3-K,2584,3160,___,___,__,But what about tomorrow?,,,,,,,
IN OTHER WORDS,3-K,2586,3159,___,___,___,The groups are in other words conservative.,,,,,,,
AS FOR,3-K,2588,3157,___,___,___,"As for the promotion, there may be other options.",,,,,,,
NOT EVEN,3-K,2599,3128,___,___,___,"No one cared, not even when they saw the photos.",,,,,,,
ENTITLED TO,3-K,2606,3113,__,___,___,You’re entitled to your opinion.,,,,,,,
PRIOR TO,3-K,2608,3110,__,___,___,"Prior to the event, the organizers called the band.",,,,,,,
CHOOSE TO,3-K,2616,3099,___,___,___,You may choose to believe what the papers say.,,,,,,,
SOMETHING LIKE,3-K,2622,3092,___,__,–,She makes something like five grand a month.,,,,,,,
KNOWN TO,3-K,2624,3091,–,___,___,He’s known to be like that.,,,,,,,
IN TOUCH,3-K,2636,3060,___,___,__,Are you two at all in touch?,,,,,,,
IN THE END,3-K,2637,3050,___,___,___,In the end it’s like what they say about horses.,,,,,,,
IN THE WAY,3-K,2654,3013,___,___,–,I won’t stand in the way.,,,,,,,
CARE FOR,3-K,2657,3004,___,___,___,He doesn’t care for it very much in his tea.,,,,,,,
IN THE EVENT,3-K,2658,2998,–,___,___,"In the event you change your mind, let me know.",,,,,,,
IN THE EVENT OF,3-K,2658,2998,–,___,___,"In the event you change your mind, let me know.",,,,,,,
THEY SAY,3-K,2675,2962,___,__,–,They say it tastes like chicken.,,,,,,,
SO CALLED,3-K,2688,2944,___,___,___,Any so called rumors are as easily their fault.,,,,,,,
TAKE INTO ACCOUNT,3-K,2702,2921,__,___,___,You must also take into account the rush hour.,,,,,,,
IN RESPECT OF,3-K,2709,2909,–,___,___,There was nothing in respect of drink.,,,,,,,
OUT OF,3-K,2711,2907,___,___,___,The walls are made out of wood.,,,,,,,
AT THE SAME TIME,3-K,2719,2892,___,___,___,At the same time it may be worth it.,,,,,,,
NEXT TO,3-K,2724,2882,___,___,__,"Next to his sister, he was the best looking of them.",,,,,,,
TURN UP,3-K,2734,2865,___,__,–,The money turned up later.,,,,,,,
POINT OF VIEW,3-K,2735,2864,___,___,___,They all had a different point of view.,,,,,,,
AT PRESENT,3-K,2744,2847,_,___,___,There’s nothing to do at present.,,,,,,,
USED TO ,3-K,2752,2831,___,___,__,It may take a while to get used to.,,,,,,,
WHETHER OR NOT,3-K,2759,2824,__,___,___,It depends on whether or not he comes on time.,,,,,,,
IN PLACE,3-K,2767,2805,__,___,___,There are systems in place to handle that.,,,,,,,
NO DOUBT,3-K,2776,2791,__,___,__,She can and will no doubt improve over time.,,,,,,,
FULL TIME,3-K,2785,2761,___,___,__,I’m a full time fan of his music.,,,,,,,
SORT OUT,3-K,2817,2696,___,___,___,They managed to sort out everything on their own.,,,,,,,
IN A WAY,3-K,2823,2684,___,___,__,It’s funny in a way.,,,,,,,
OR SOMETHING,3-K,2826,2683,___,__,–,The sales clerk seemed distracted or something.,,,,,,,
ON BEHALF OF,3-K,2827,2679,–,__,___,I’d like to apologize on behalf of the committee. ,,,,,,,
OVER THERE,3-K,2828,2678,___,__,–,He put it way over there.,,,,,,,
IN SPITE OF,3-K,2829,2676,__,___,___,In spite of all the work there were few alterations.,,,,,,,
THAT'S IT,3-K,2831,2674,___,_,–,"That’s it for today, I’m afraid.",,,,,,,
IN PART,3-K,2848,2652,–,___,___,It is in part the reason people come here.,,,,,,,
OH NO,3-K,2857,2642,___,–,–,Oh no not again.,,,,,,,
IN MIND,3-K,2859,2638,___,___,___,Do you have anything special in mind?,,,,,,,
WITH REGARD TO,3-K,2863,2630,__,___,___,There was some confusion with regard to payment.,,,,,,,
REGARD TO,3-K,2863,2630,__,___,___,There was some confusion with regard to payment.,,,,,,,
ONE ANOTHER,3-K,2868,2623,__,___,__,They looked at one another for a few minutes.,,,,,,,
AS FOLLOWS,3-K,2871,2620,–,___,___,The plan is as follows.,,,,,,,
THE ABOVE,3-K,2879,2608,–,___,___,The above only underscores strength of the data.,,,,,,,
TO DATE,3-K,2888,2600,__,___,___,To date there have been over nine instances.,,,,,,,
GO INTO,3-K,2892,2595,___,___,__,I won’t go into what he said.,,,,,,,
TOO MANY,3-K,2898,2587,___,___,___,"You don’t see too many like that one, I’ll tell you.",,,,,,,
IN THE COURSE OF,3-K,2899,2585,__,___,___,In the course of the discussion the manager left.,,,,,,,
MORE OR LESS,3-K,2903,2579,___,___,___,It’s more or less what we imagined I suppose.,,,,,,,
SHORT TERM,3-K,2906,2574,___,___,___,There are many short term gains to be had.,,,,,,,
AIMED AT,3-K,2907,2573,__,___,___,The study is aimed at exploring how people use it.,,,,,,,
GO OFF,3-K,2919,2551,__,___,–,She went off without even saying goodbye.,,,,,,,
IN CASE,3-K,2926,2536,___,___,___,"In case you’re wondering, this isn’t my natural color.",,,,,,,
OUT THERE,3-K,2941,2513,___,___,–,There are simply no jobs out there right now.,,,,,,,
LED BY,3-K,2942,2511,–,___,___,He was led by his competitive drive above all.,,,,,,,
MORE AND MORE,3-K,2967,2468,___,___,___,More and more it’s about the customer.,,,,,,,
HAVE A LOOK,3-K,2970,2464,___,__,–,Why don’t you have a look?,,,,,,,
BELIEVE IN,3-K,2981,2450,___,___,–,I don’t believe in corporal punishment.,,,,,,,
PUT IT,3-K,2983,2449,___,___,__,"There’s no better way to put it, I think.",,,,,,,
THESE DAYS,3-K,2992,2440,___,___,__,It’s what these days the media call ‘viral’.,,,,,,,
IN CHARGE,3-K,2999,2432,___,___,___,He was able to stay in charge while she was away.,,,,,,,
FEEL LIKE,3-K,3000,2431,___,__,–,I feel like eating out.,,,,,,,
UP TO,3-K,3016,2409,___,___,___,I walked up to the window and paused.,,,,,,,
HEARD OF,3-K,3022,2403,___,___,__,Haven’t you ever heard of manners?,,,,,,,
TAKE PART IN,3-K,3044,2374,__,___,___,It’s something we all wanted to take part in.,,,,,,,
IN SO FAR AS,3-K,3059,2344,__,___,___,The plan was fine in so far as time and transport.,,,,,,,
PART TIME,3-K,3061,2343,___,___,__,She can take it on part time.,,,,,,,
LOOK FORWARD TO,3-K,3067,2331,___,___,–,It’s something we can all look forward to.,,,,,,,
AS SUCH,3-K,3094,2290,__,___,___,The film was not a horror as such.,,,,,,,
BOUND TO,3-K,3104,2278,___,___,___,It’s bound to be better next time.,,,,,,,
TURN ON,3-K,3113,2266,___,___,__,It won’t turn on.,,,,,,,
SET TO,3-K,3121,2258,___,___,__,He’s set to arrive today.,,,,,,,
MOVE ON,3-K,3134,2245,___,___,__,I’d like to move on if I may.,,,,,,,
IN CONTRAST TO,3-K,3149,2229,__,___,___,The inside was amazing in contrast.,,,,,,,
IN CONTRAST,3-K,3149,2229,__,___,___,The inside was amazing in contrast.,,,,,,,
THIS STAGE,3-K,3152,2223,___,___,___,We can’t at this stage.,,,,,,,
ALL BUT,3-K,3157,2214,___,___,_,She all but sent him chocolates and flowers.,,,,,,,
ABOVE ALL,3-K,3160,2212,___,___,___,It is above all what people care most about.,,,,,,,
RID OF,3-K,3162,2212,___,___,__,She was happy to be rid of it.,,,,,,,
IN ANY CASE,3-K,3197,2159,___,___,___,It’s not due till tomorrow in any case.,,,,,,,
THANKS TO,3-K,3199,2159,___,___,___,And it’s thanks to her research that we know that.,,,,,,,
GO AWAY,3-K,3205,2150,___,___,__,The problem won’t just go away.,,,,,,,
ONCE MORE,3-K,3207,2146,___,___,___,I call on you once more my fellow citizens.,,,,,,,
OH WELL,3-K,3220,2129,___,–,–,It was due yesterday? Oh well.,,,,,,,
FOLLOW UP,3-K,3222,2128,__,___,___,I’d like to follow up on what that gentleman said.,,,,,,,
WOULD SAY,3-K,3224,2128,___,___,___,"I don’t know, but I would say at least twenty.",,,,,,,
FOUND TO,3-K,3235,2104,–,___,___,It was found to be of little use in battle.,,,,,,,
MEANT TO,3-K,3240,2098,___,___,___,I haven’t seen it but it’s meant to be his best so far.,,,,,,,
HANG ON,4-K,3263,2074,___,___,–,If you can hang on for just a second.,,,,,,,
TURN INTO,4-K,3265,2072,___,___,__,The idea turned into something amazing.,,,,,,,
SOMETHING ABOUT,4-K,3268,2071,___,___,–,There’s something about her I find interesting.,,,,,,,
BY NOW,4-K,3295,2044,___,___,__,I thought they’d be here by now.,,,,,,,
THINK SO,4-K,3308,2033,___,__,__,Do you think so?,,,,,,,
GO AHEAD,4-K,3320,2023,___,___,__,Why don’t you go ahead and call him again?,,,,,,,
BRING ABOUT,4-K,3322,2022,–,___,___,It was expected that he would bring about change.,,,,,,,
HAD BETTER,4-K,3323,2022,___,___,__,They had better listen.,,,,,,,
IN ACCORDANCE WITH,4-K,3327,2017,–,___,___,The plan was execute in accordance with municipal guidelines.,,,,,,,
CALL ON,4-K,3328,2016,__,___,__,He called on his members of staff for advice.,,,,,,,
AT TIMES,4-K,3331,2014,___,___,___,It can be slightly frustrating at times.,,,,,,,
ALL THE WAY,4-K,3340,2007,___,___,___,I’m with you all the way.,,,,,,,
IN EFFECT,4-K,3349,1995,___,___,___,In effect it was like being in space.,,,,,,,
AFFORD TO,4-K,3355,1989,___,___,__,It’s something you can’t afford to miss.,,,,,,,
SIGHT OF,4-K,3357,1988,___,___,___,"I can’t stand the sight of it, to tell you the truth.",,,,,,,
IN ADVANCE,4-K,3362,1983,___,___,___,It’s something you should do in advance.,,,,,,,
ON THE PART OF,4-K,3379,1965,__,___,___,There are no barriers on the part of the government.,,,,,,,
BRING UP,4-K,3387,1958,___,___,___,Did you manage to bring up the holiday pay?,,,,,,,
TAKE OFF,4-K,3388,1957,___,___,__,I was hungry by the time we took off.,,,,,,,
SO AS TO,4-K,3390,1954,___,___,___,He cluttered his desk so as to appear busy.,,,,,,,
TAKE ADVANTAGE,4-K,3396,1949,___,___,___,Some people just want to take advantage.,,,,,,,
SHORT OF,4-K,3399,1944,__,___,___,"Short of calling the doctor, I don’t know what to do.",,,,,,,
OVER THE YEARS,4-K,3402,1942,___,___,___,She has over the years visited many cities.,,,,,,,
SWITCH ON,4-K,3406,1935,___,___,__,It’s plugged in but it won’t switch on.,,,,,,,
BY NO MEANS,4-K,3417,1925,___,___,___,We have by no means concluded the matter.,,,,,,,
COULD HARDLY,4-K,3431,1911,___,___,__,I could hardly wait for the weekend.,,,,,,,
COME UP WITH,4-K,3446,1898,___,___,__,Is that the best you could come up with?,,,,,,,
IN QUESTION,4-K,3448,1898,–,__,___,The book in question was published last year.,,,,,,,
IN THE FIRST PLACE,4-K,3450,1897,___,___,___,He couldn’t see how it got there in the first place.,,,,,,,
PROVE TO BE,4-K,3456,1893,__,___,___,The bicycle proved to be of immense value.,,,,,,,
IN COMMON,4-K,3457,1890,___,___,___,What they have in common is their stamina.,,,,,,,
NO MATTER,4-K,3461,1888,___,___,__,"No matter what they say, it’s down to you now.",,,,,,,
AT THIS POINT,4-K,3465,1884,___,___,___,At this point there’s no telling who might win.,,,,,,,
IN ITSELF,4-K,3491,1855,___,___,___,The car in itself wasn’t enough incentive. ,,,,,,,
THE FORMER,4-K,3502,1842,–,___,___,The former can actually require much more money.,,,,,,,
IF ONLY,4-K,3511,1830,___,___,__,If only I’d known sooner.,,,,,,,
YET TO,4-K,3525,1818,___,___,___,The package is yet to arrive.,,,,,,,
UP TO ME,4-K,3534,1807,___,___,___,I’ll leave it up to you if that’s all right.,,,,,,,
UP TO US,4-K,3534,1807,___,___,___,I’ll leave it up to you if that’s all right.,,,,,,,
UP TO YOU,4-K,3534,1807,___,___,___,I’ll leave it up to you if that’s all right.,,,,,,,
UP TO HIM,4-K,3534,1807,___,___,___,I’ll leave it up to you if that’s all right.,,,,,,,
UP TO HER,4-K,3534,1807,___,___,___,I’ll leave it up to you if that’s all right.,,,,,,,
UP TO THEM,4-K,3534,1807,___,___,___,I’ll leave it up to you if that’s all right.,,,,,,,
OR WHATEVER,4-K,3536,1806,___,–,–,The challenge or whatever is doing it under budget.,,,,,,,
HAND OVER,4-K,3548,1798,___,___,__,The responsibility was expected to be handed over.,,,,,,,
IN THE LIGHT OF,4-K,3554,1789,__,___,___,"In the light of the results, we delayed the study.",,,,,,,
IN THE SAME WAY,4-K,3560,1784,___,___,___,"In the same way, Apple appeals to the young.",,,,,,,
THAT MUCH,4-K,3567,1781,___,__,–,I don’t go out that much.,,,,,,,
THE EXTENT TO WHICH,4-K,3601,1751,–,__,___,The extent to which the preceding can be asserted is largely dependent on what emerges in the study.,,,,,,,
FOR SOME TIME,4-K,3632,1725,___,___,___,He’s actually been studying for some time now.,,,,,,,
IN RETURN FOR,4-K,3640,1720,___,___,___,In return I’d like to present you with this gift.,,,,,,,
IN RETURN,4-K,3640,1720,___,___,___,In return I’d like to present you with this gift.,,,,,,,
TO DEATH,4-K,3650,1714,___,___,–,The children were bored to death.,,,,,,,
ON THE GROUNDS,4-K,3652,1713,___,___,___,The decision was made on the grounds of safety.,,,,,,,
OH DEAR,4-K,3670,1700,___,–,–,He didn’t? Oh dear.,,,,,,,
IN FULL,4-K,3672,1698,–,___,___,She paid in full.,,,,,,,
